,TEAM_NAME,WinRate,3P%,2P%,3P_ratio,2P_ratio
0,Atlanta Hawks,0.3170731707317073,0.36741767764298094,0.47210782478472485,0.17764778325123154,0.8223522167487685
1,Boston Celtics,0.4024390243902439,0.362015503875969,0.49364069952305245,0.20404935147105346,0.7959506485289465
2,Charlotte Bobcats,0.3170731707317073,0.3394131641554322,0.45378000716589034,0.1842759023819962,0.8157240976180038
3,Chicago Bulls,0.5,0.3791469194312796,0.464638783269962,0.21923704913166098,0.780762950868339
4,Cleveland Cavaliers,0.6097560975609756,0.3392491467576792,0.48736608045279967,0.22847785402370555,0.7715221459762944
5,Dallas Mavericks,0.7317073170731707,0.37376460017969454,0.4811858608893957,0.17458823529411766,0.8254117647058824
6,Denver Nuggets,0.5365853658536586,0.3252788104089219,0.4874910650464618,0.16127098321342925,0.8387290167865707
7,Detroit Pistons,0.7804878048780488,0.3838731909028256,0.4750342666927746,0.22125648063433973,0.7787435193656602
8,Golden State Warriors,0.4146341463414634,0.3411572052401747,0.4671916010498688,0.27000736919675755,0.7299926308032424
9,Houston Rockets,0.4146341463414634,0.3316831683168317,0.4627945431996693,0.22616762635956494,0.7738323736404351
10,Indiana Pacers,0.5,0.3489583333333333,0.4748839172646686,0.2448198916161938,0.7551801083838062
11,Los Angeles Clippers,0.573170731707317,0.34400948991696323,0.4826785714285714,0.13083967096073257,0.8691603290392674
12,Los Angeles Lakers,0.5487804878048781,0.3487049905243209,0.4856687898089172,0.23959436960799152,0.7604056303920085
13,Memphis Grizzlies,0.5975609756097561,0.37389100126742714,0.4741587860127557,0.2576326530612245,0.7423673469387755
14,Miami Heat,0.6341463414634146,0.34489937543372656,0.5172975172975173,0.22675059008654602,0.7732494099134539
15,Milwaukee Bucks,0.4878048780487805,0.3797752808988764,0.4719938826228255,0.20332013402375876,0.7966798659762413
16,Minnesota Timberwolves,0.4024390243902439,0.32908704883227174,0.4775842904779548,0.14858044164037854,0.8514195583596215
17,New Jersey Nets,0.5975609756097561,0.32964754664823775,0.4724845995893224,0.2290644293177141,0.7709355706822859
18,New Orleans/Oklahoma City Hornets,0.4634146341463415,0.3389830508474576,0.45661194299116004,0.13767890479153702,0.862321095208463
19,New York Knicks,0.2804878048780488,0.36199095022624433,0.4702123660965984,0.14246575342465753,0.8575342465753425
20,Orlando Magic,0.43902439024390244,0.3756281407035176,0.4863153975051201,0.12907410410248094,0.870925895897519
21,Philadelphia 76ers,0.4634146341463415,0.36372453928225024,0.4761559383499547,0.15750076382523678,0.8424992361747632
22,Phoenix Suns,0.6585365853658537,0.39914163090128757,0.511439842209073,0.29259104227710336,0.7074089577228966
23,Portland Trail Blazers,0.25609756097560976,0.3493282149712092,0.4644976076555024,0.16626775171533428,0.8337322482846657
24,Sacramento Kings,0.5365853658536586,0.3508522727272727,0.4831107619795758,0.21661538461538463,0.7833846153846153
25,San Antonio Spurs,0.7682926829268293,0.38472834067547723,0.49578313253012046,0.21475875118259224,0.7852412488174078
26,Seattle SuperSonics,0.4268292682926829,0.37093807480073576,0.48661417322834644,0.24303382506332885,0.7569661749366712
27,Toronto Raptors,0.32926829268292684,0.37530864197530867,0.4791791193464834,0.24401265250790782,0.7559873474920922
28,Utah Jazz,0.5,0.3362162162162162,0.4606209769026884,0.1490252940228774,0.8509747059771227
29,Washington Wizards,0.5121951219512195,0.3565279770444763,0.4709236031927024,0.20943509615384615,0.7905649038461539
