,TEAM_ID,TEAM_NAME,MIN,FGA,FG_PCT,FG3A,FTA,FT_PCT,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,3P%,2P%,3P_ratio,2P_ratio,WinRate
0,1610612737,Atlanta Hawks,3481.0,6281,0.468,2402,1745,0.812,760,2525,1737,953.0,503,342,363,1392,1422,8186,167.0,0.3726061615320566,0.5264243361691158,0.38242318102213024,0.6175768189778698,0.5694444444444444
1,1610612738,Boston Celtics,3476.0,6401,0.466,2618,1496,0.775,765,2421,1689,1012.0,556,383,334,1471,1389,8109,105.0,0.3739495798319328,0.5302669838752313,0.40899859396969224,0.5910014060303078,0.5
2,1610612751,Brooklyn Nets,3481.0,6289,0.494,2600,1623,0.804,640,2559,1929,975.0,484,379,330,1371,1361,8537,324.0,0.3923076923076923,0.5654648956356736,0.413420257592622,0.586579742407378,0.6666666666666666
3,1610612766,Charlotte Hornets,3471.0,6324,0.455,2666,1505,0.761,762,2389,1933,1069.0,565,344,347,1298,1340,7881,-139.0,0.36946736684171044,0.5166757791142701,0.4215686274509804,0.5784313725490197,0.4583333333333333
4,1610612741,Chicago Bulls,3476.0,6380,0.476,2446,1258,0.791,693,2544,1927,1089.0,482,304,364,1362,1277,7969,-64.0,0.3695829926410466,0.541687849517031,0.3833855799373041,0.616614420062696,0.4305555555555556
5,1610612739,Cleveland Cavaliers,3486.0,6175,0.45,2141,1614,0.743,751,2327,1716,1114.0,559,325,425,1308,1451,7476,-608.0,0.33629145259224663,0.5101636093207734,0.3467206477732794,0.6532793522267206,0.3055555555555556
6,1610612742,Dallas Mavericks,3461.0,6287,0.47,2744,1524,0.778,657,2463,1647,869.0,450,311,264,1396,1446,8096,163.0,0.3622448979591837,0.5543324865932825,0.43645617941784637,0.5635438205821537,0.5833333333333334
7,1610612743,Denver Nuggets,3496.0,6422,0.485,2462,1406,0.803,758,2442,1933,972.0,582,323,325,1374,1379,8284,355.0,0.3765231519090171,0.5522727272727272,0.3833696667704765,0.6166303332295235,0.6527777777777778
8,1610612765,Detroit Pistons,3486.0,6162,0.452,2370,1683,0.759,694,2381,1743,1075.0,531,371,419,1477,1469,7676,-322.0,0.3510548523206751,0.5145042194092827,0.38461538461538464,0.6153846153846154,0.2777777777777778
9,1610612744,Golden State Warriors,3461.0,6347,0.468,2789,1520,0.785,574,2524,1991,1080.0,587,342,312,1526,1406,8187,76.0,0.37576192183578344,0.5410342889263631,0.43942019851898534,0.5605798014810146,0.5416666666666666
10,1610612745,Houston Rockets,3461.0,6372,0.444,2923,1606,0.74,671,2396,1699,1060.0,546,361,378,1407,1388,7833,-569.0,0.3393773520355799,0.5317483328501015,0.45872567482736976,0.5412743251726303,0.2361111111111111
11,1610612754,Indiana Pacers,3491.0,6567,0.474,2445,1493,0.792,648,2424,1973,975.0,611,460,380,1453,1306,8302,-3.0,0.36359918200408997,0.5400291120815138,0.37231612608497033,0.6276838739150297,0.4722222222222222
12,1610612746,LA Clippers,3456.0,6242,0.482,2498,1387,0.839,678,2501,1756,949.0,509,295,304,1383,1303,8209,445.0,0.411128903122498,0.5293803418803419,0.40019224607497594,0.5998077539250241,0.6527777777777778
13,1610612747,Los Angeles Lakers,3491.0,6197,0.472,2248,1679,0.739,695,2490,1775,1095.0,562,386,327,1377,1530,7887,201.0,0.3540925266903915,0.5391238288174222,0.3627561723414555,0.6372438276585445,0.5833333333333334
14,1610612763,Memphis Grizzlies,3481.0,6608,0.467,2258,1536,0.771,803,2543,1938,957.0,655,364,377,1349,1318,8157,74.0,0.35562444641275465,0.5245977011494253,0.34170702179176754,0.6582929782082324,0.5277777777777778
15,1610612748,Miami Heat,3476.0,6029,0.468,2606,1520,0.79,579,2409,1895,1013.0,569,286,287,1363,1414,7781,2.0,0.35763622409823487,0.5527315220566754,0.432244153259247,0.5677558467407531,0.5555555555555556
16,1610612749,Milwaukee Bucks,3466.0,6610,0.487,2669,1539,0.76,741,2724,1834,995.0,585,334,348,1244,1320,8649,424.0,0.3889097040089921,0.5539203247906622,0.4037821482602118,0.5962178517397883,0.6388888888888888
17,1610612750,Minnesota Timberwolves,3481.0,6546,0.448,2706,1662,0.761,757,2376,1846,1027.0,632,398,398,1507,1432,8073,-400.0,0.34885439763488546,0.5177083333333333,0.41338221814848763,0.5866177818515124,0.3194444444444444
18,1610612740,New Orleans Pelicans,3486.0,6412,0.477,2190,1878,0.729,845,2568,1872,1052.0,545,315,426,1295,1534,8251,-21.0,0.34794520547945207,0.5442918048318333,0.3415470991890206,0.6584529008109794,0.4305555555555556
19,1610612752,New York Knicks,3486.0,6225,0.456,2163,1506,0.784,696,2554,1541,932.0,507,365,391,1473,1286,7706,166.0,0.39158576051779936,0.49039881831610044,0.3474698795180723,0.6525301204819277,0.5694444444444444
20,1610612760,Oklahoma City Thunder,3471.0,6338,0.441,2529,1536,0.725,715,2568,1588,1162.0,504,316,378,1305,1336,7560,-766.0,0.3388691182285488,0.5087949593069047,0.39902177343010414,0.6009782265698959,0.3055555555555556
21,1610612753,Orlando Magic,3466.0,6423,0.429,2288,1543,0.775,747,2525,1571,924.0,496,318,385,1237,1342,7488,-670.0,0.34265734265734266,0.47642079806529625,0.35621983496808346,0.6437801650319166,0.2916666666666667
