,TEAM_ID,TEAM_NAME,MIN,FGA,FG_PCT,FG3A,FTA,FT_PCT,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,3P%,2P%,3P_ratio,2P_ratio,WinRate
0,1610612737,Atlanta Hawks,3981.0,6529,0.433,1249,1976,0.776,996,2507,1648,1350.0,627,408,416,1826,3,7611,-381.0,0.3354683746997598,0.4564393939393939,0.19130035227446776,0.8086996477255323,0.34146341463414637
1,1610612738,Boston Celtics,3941.0,6415,0.443,1599,2095,0.75,851,2440,1683,1332.0,770,331,408,1837,2,7811,-119.0,0.3458411507191995,0.4754983388704319,0.24925954793452845,0.7507404520654716,0.43902439024390244
2,1610612741,Chicago Bulls,3966.0,6753,0.414,1256,1834,0.725,1048,2519,1793,1321.0,659,396,446,1911,3,7355,-521.0,0.34156050955414013,0.4309623430962343,0.1859914112246409,0.8140085887753591,0.2804878048780488
3,1610612739,Cleveland Cavaliers,3971.0,6753,0.433,786,2030,0.753,1118,2619,1808,1216.0,585,537,434,1743,2,7619,-215.0,0.3142493638676845,0.4482989777107424,0.11639271434917814,0.8836072856508218,0.4268292682926829
4,1610612742,Dallas Mavericks,3961.0,7230,0.459,1456,1854,0.796,1174,2538,1963,1000.0,656,437,382,1609,3,8626,364.0,0.3482142857142857,0.48753030827848975,0.20138312586445367,0.7986168741355464,0.6341463414634146
5,1610612743,Denver Nuggets,3946.0,6763,0.443,985,2159,0.767,1083,2387,1794,1278.0,745,520,479,1804,6,7972,88.0,0.33604060913705586,0.4607130494980962,0.1456454236285672,0.8543545763714328,0.524390243902439
6,1610612765,Detroit Pistons,3956.0,6314,0.435,968,2074,0.753,1014,2492,1702,1241.0,659,570,410,1664,4,7388,479.0,0.3440082644628099,0.4515525626636738,0.15331010452961671,0.8466898954703833,0.6585365853658537
7,1610612744,Golden State Warriors,3971.0,6511,0.442,1283,2028,0.725,1002,2533,1681,1211.0,576,389,418,1691,2,7649,-60.0,0.3343725643024162,0.4678653404743688,0.1970511442174781,0.8029488557825218,0.45121951219512196
8,1610612745,Houston Rockets,3985.633333333333,6195,0.442,1406,1774,0.773,847,2647,1579,1373.0,560,443,359,1762,3,7362,142.0,0.3662873399715505,0.4641887659219044,0.22695722356739306,0.773042776432607,0.5487804878048781
9,1610612754,Indiana Pacers,3961.0,6322,0.435,1281,2014,0.764,965,2452,1774,1182.0,726,411,512,1709,5,7493,472.0,0.3505074160811866,0.45705217218805794,0.20262575134451122,0.7973742486554888,0.7439024390243902
10,1610612746,Los Angeles Clippers,3961.0,6579,0.428,1024,2302,0.785,1149,2416,1653,1344.0,594,376,437,1816,3,7771,-376.0,0.3212890625,0.4478847884788479,0.15564675482596138,0.8443532451740386,0.34146341463414637
11,1610612747,Los Angeles Lakers,3971.0,6676,0.454,1115,2352,0.693,1001,2535,1948,1132.0,682,379,308,1732,5,8052,320.0,0.3273542600896861,0.4788707067074267,0.16701617735170762,0.8329838226482924,0.6829268292682927
12,1610612763,Memphis Grizzlies,3976.0,6657,0.445,1314,2143,0.727,1047,2381,1915,1226.0,795,565,461,1903,4,7930,200.0,0.3401826484018265,0.47089650009358036,0.19738621000450654,0.8026137899954935,0.6097560975609756
13,1610612748,Miami Heat,3951.0,6417,0.425,1357,1915,0.762,940,2459,1565,1137.0,590,313,439,1812,4,7402,43.0,0.3574060427413412,0.4434782608695652,0.2114695340501792,0.7885304659498208,0.5121951219512195
