,TEAM_ID,TEAM_NAME,MIN,FGA,FG_PCT,FG3A,FTA,FT_PCT,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,3P%,2P%,3P_ratio,2P_ratio,WinRate
0,1610612737,Atlanta Hawks,3971.0,6644,0.464,1901,1619,0.715,758,2593,2007,1219.0,664,369,350,1473,1543,8032,33.0,0.371383482377696,0.5013704406493781,0.2861228175797712,0.7138771824202288,0.5365853658536586
1,1610612738,Boston Celtics,3968.0,6459,0.465,1390,1698,0.776,654,2533,1843,1181.0,667,365,378,1717,1574,7818,-18.0,0.35827338129496406,0.4937857565594792,0.21520359188728905,0.7847964081127109,0.5061728395061729
2,1610612751,Brooklyn Nets,3971.0,6544,0.45,1760,1958,0.731,1047,2460,1668,1206.0,599,391,390,1500,1751,7944,146.0,0.3568181818181818,0.483695652173913,0.26894865525672373,0.7310513447432763,0.5975609756097561
3,1610612766,Charlotte Bobcats,3961.0,6649,0.425,1399,2060,0.75,917,2389,1587,1153.0,591,479,565,1561,1746,7661,-757.0,0.33523945675482486,0.4483809523809524,0.21040758008723115,0.7895924199127689,0.25609756097560976
4,1610612741,Chicago Bulls,3966.0,6698,0.437,1265,1738,0.773,1026,2514,1886,1171.0,588,417,477,1617,1609,7641,26.0,0.3525691699604743,0.45646972206883857,0.18886234696924456,0.8111376530307555,0.5487804878048781
5,1610612739,Cleveland Cavaliers,3946.0,6901,0.434,1581,1826,0.756,1004,2359,1694,1149.0,647,334,560,1737,1615,7913,-384.0,0.3459835547122075,0.45977443609022556,0.22909723228517606,0.7709027677148239,0.2926829268292683
6,1610612742,Dallas Mavericks,3996.0,6892,0.462,1628,1669,0.793,767,2670,1906,1144.0,648,454,340,1698,1547,8293,-49.0,0.37223587223587223,0.48936170212765956,0.23621590249564714,0.7637840975043528,0.5
7,1610612743,Denver Nuggets,3981.0,6983,0.478,1518,2148,0.701,1092,2601,2002,1253.0,762,533,554,1682,1775,8704,417.0,0.3432147562582345,0.5156450137236962,0.2173850780466848,0.7826149219533152,0.6951219512195121
8,1610612765,Detroit Pistons,3961.0,6638,0.449,1440,1870,0.699,991,2463,1742,1241.0,574,400,472,1623,1630,7778,-327.0,0.35625,0.47441323585994616,0.216932811087677,0.783067188912323,0.35365853658536583
9,1610612744,Golden State Warriors,3961.0,6840,0.458,1632,1744,0.79,885,2801,1845,1236.0,567,346,399,1753,1571,8296,73.0,0.40318627450980393,0.47465437788018433,0.23859649122807017,0.7614035087719299,0.573170731707317
10,1610612745,Houston Rockets,3956.0,6782,0.461,2369,2087,0.754,909,2652,1902,1348.0,679,359,498,1662,1674,8688,285.0,0.3659772055719713,0.5114434624971674,0.3493069890887644,0.6506930109112357,0.5487804878048781
11,1610612754,Indiana Pacers,3918.0,6525,0.436,1599,1915,0.746,1043,2671,1645,1227.0,580,513,459,1623,1777,7674,326.0,0.34709193245778613,0.464880227365002,0.2450574712643678,0.7549425287356322,0.6049382716049383
12,1610612746,Los Angeles Clippers,3946.0,6608,0.478,1752,1888,0.711,938,2475,1958,1197.0,784,461,335,1716,1712,8289,529.0,0.3578767123287671,0.5216227347611203,0.2651331719128329,0.7348668280871671,0.6829268292682927
13,1610612747,Los Angeles Lakers,3951.0,6640,0.458,2015,2289,0.692,942,2732,1818,1232.0,576,429,396,1467,1891,8381,95.0,0.3548387096774194,0.5029189189189189,0.30346385542168675,0.6965361445783133,0.5487804878048781
14,1610612763,Memphis Grizzlies,3961.0,6679,0.444,1107,1746,0.773,1059,2445,1715,1144.0,703,436,450,1660,1643,7659,340.0,0.34507678410117437,0.4633883704235463,0.16574337475670012,0.8342566252432999,0.6829268292682927
15,1610612748,Miami Heat,3976.0,6348,0.496,1809,1887,0.754,676,2490,1890,1143.0,710,441,262,1533,1673,8436,645.0,0.3963515754560531,0.5355805243445693,0.28497164461247637,0.7150283553875236,0.8048780487804879
