,TEAM_NAME,WinRate,3P%,2P%,3P_ratio,2P_ratio
0,Atlanta Hawks,0.524390243902439,0.3743353420772776,0.5305429864253394,0.3895870736086176,0.6104129263913824
1,Boston Celtics,0.6219512195121951,0.3564388961892247,0.5471743875818579,0.42472443142179434,0.5752755685782056
2,Brooklyn Nets,0.5365853658536586,0.361260568793236,0.5381802538180254,0.3588470555785409,0.6411529444214591
3,Charlotte Hornets,0.524390243902439,0.36517571884984024,0.5415617128463476,0.41750033346672,0.58249966653328
4,Chicago Bulls,0.5609756097560976,0.3688663282571912,0.5353768633214361,0.33169636593236984,0.6683036340676302
5,Cleveland Cavaliers,0.5365853658536586,0.35480268056589725,0.5411377527033381,0.38703170028818445,0.6129682997118155
6,Dallas Mavericks,0.6341463414634146,0.35031015344433564,0.5483541719826487,0.43869951303351473,0.5613004869664853
7,Denver Nuggets,0.5853658536585366,0.3529211956521739,0.5748488512696494,0.41587794886283375,0.5841220511371663
8,Detroit Pistons,0.2804878048780488,0.3259337561663143,0.4976292616843531,0.3905325443786982,0.6094674556213018
9,Golden State Warriors,0.6463414634146342,0.36397400185701023,0.5567946058091287,0.45590517849583745,0.5440948215041626
10,Houston Rockets,0.24390243902439024,0.34858044164037855,0.5428060311781242,0.4475504729634336,0.5524495270365665
11,Indiana Pacers,0.3048780487804878,0.3439116936874784,0.5408875872944356,0.3950667756881984,0.6049332243118016
12,LA Clippers,0.5121951219512195,0.37366167023554603,0.5123626373626373,0.3907949790794979,0.6092050209205021
13,Los Angeles Lakers,0.4024390243902439,0.3474876150035386,0.5463732315293061,0.3882401428767688,0.6117598571232312
14,Memphis Grizzlies,0.6829268292682927,0.3527435610302352,0.5189723320158103,0.34616875565318517,0.6538312443468148
15,Miami Heat,0.6463414634146342,0.37942779291553136,0.5306122448979592,0.42220304860511937,0.5777969513948806
16,Milwaukee Bucks,0.6219512195121951,0.365915582354808,0.5444976076555024,0.42981857863865774,0.5701814213613422
17,Minnesota Timberwolves,0.5609756097560976,0.35764914353219135,0.5402750491159135,0.4540091177259319,0.5459908822740681
18,New Orleans Pelicans,0.43902439024390244,0.33206542411563333,0.5282566004800349,0.36453133666112036,0.6354686633388796
19,New York Knicks,0.45121951219512196,0.35721360184879497,0.49653465346534653,0.42849059272881596,0.571509407271184
20,Oklahoma City Thunder,0.2926829268292683,0.32322243966079583,0.5065975494816211,0.4194254445964432,0.5805745554035567
21,Orlando Magic,0.2682926829268293,0.33057577763070817,0.5073494547178757,0.41740331491712707,0.5825966850828729
22,Philadelphia 76ers,0.6219512195121951,0.3642638036809816,0.5272895467160037,0.3762261973456434,0.6237738026543566
23,Phoenix Suns,0.7804878048780488,0.36353211009174313,0.5510161324114813,0.35403978887535525,0.6459602111246447
24,Portland Trail Blazers,0.32926829268292684,0.345707656612529,0.5132057184395444,0.4223124300111982,0.5776875699888018
25,Sacramento Kings,0.36585365853658536,0.34423218221895663,0.5296600755387691,0.3768517236605289,0.6231482763394711
26,San Antonio Spurs,0.4146341463414634,0.35224676313785225,0.5268341708542713,0.3454808577818708,0.6545191422181292
27,Toronto Raptors,0.5853658536585366,0.34864672364672367,0.5026703695791498,0.37494992655895315,0.6250500734410469
28,Utah Jazz,0.5975609756097561,0.3603385731559855,0.5679702048417132,0.46809112777699163,0.5319088722230083
29,Washington Wizards,0.4268292682926829,0.34235668789808915,0.5429137323943662,0.35600907029478457,0.6439909297052154
